,Company Name,Location.1,JOB,Python,SQL,R language,Linux,Cloud,Revenue,No of employee,Tablue,Clusters
959,CrossML,Chandigarh,NLP,1,0,0,0,Both or Didnt Specift,0.1108,50,0,4
960,TeamPlus Staffing Solution Pvt Ltd,Remote,Data Scientist,1,0,0,1,AWS,0.0005,20,0,4
961,CoreStack,Chennai,ML Engineer,1,0,0,0,Azure,0.01639,147,0,4
962,Siemens Technology and Services Private Limited,Bengaluru,Data Scientist,0,0,0,0,AWS,0.0005,20,0,4
963,GO-JEK,Bengaluru,Decision Scientist - Driver Ops,0,0,0,0,Both or Didnt Specift,0.086,563,0,4
965,Ignitarium Technology Solutions,India,Senior Engineer- Deep Learning (DL Audio),1,1,0,0,AWS,0.0536,289,0,4
966,Tavant Technologies,Bengaluru,Data Scientist,1,1,0,1,AWS,0.223,2500,0,4
969,Accrete.AI,Mumbai,NLP,1,0,1,0,Azure,0.011,82,0,4
975,UBS,Mumbai,Data Scientist,0,0,0,1,AWS,0.0005,20,0,4
978,iMerit,India,ML Engineer,0,1,0,0,Azure,0.0235,2894,0,4
980,Jubna,Noida,Data Scientist,0,1,0,0,AWS,0.016,8,0,4
981,FactSet Research Systems,Hyderabad,ML Engineer,0,1,1,0,Azure,1.49,10892,0,4
982,Mount Talent Consulting,Gurgaon,Data Scientist,0,0,1,0,AWS,0.0005,20,0,4
